Date,User Name,Score,Title,Review Text,Version,Helpful Count
"2025-07-21T17:54:00-07:00","eggfatlatte","3","App worked fine until the last release update","There is much to be desired for the app but the last update made the app unusable. After each session the mendi icon shows up and gets stuck there. Only way to get pass this screen is to close the app and restart it. I see other people are experiencing the same behavior. Seems like this got passed QA somehow. Not terribly impressed with the app. Please fix this ASAP or I’ll have to move on to alternatives.","3.1.9",""
"2025-07-18T11:25:43-07:00","Sherwani2020","4","Glitch in the app","This might be a mistake from my end as I am new to mendi and still don’t know how exactly it works, but every time when my session ends the mandi logo stays on the screen (more than a minute based on my experience) and in order to go back to the main page, I have to close the app and re-open.
Please fix this as it might affect it’s functionality.","3.1.9",""
"2025-07-09T17:36:49-07:00","Dr.d man","4","Improving","After several months I have noticed that I am much less reactive.  I wish there were more tools to understand/interpret scores.  Maybe a graph.","3.1.6",""
"2025-07-07T16:27:07-07:00","Wild Moonflower","1","Not pleased","I was a very dedicated user- just shy of 600 days in a row and the app changed a bunch of features, the device stopped working, and many glitches. While the history of my sessions saved, the daily number did not so 600 sessions became zero overnight.","3.1.6",""
"2025-06-27T23:29:17-07:00","Ghhjkfcxdg","4","Multiple bugs but functional game","Mendi is very promising. The game works well. However many bugs - the Mendi icon spins eternally after finishing a training session and no longer writes to mindful minutes on iOS despite permissions being enabled.

Other areas like after a breathing session the text “breathing animation. well done” exposed instead of an animation

While the training session is good I’d really like new experiences that leverages the headset.","3.1.5",""
"2025-06-23T10:40:04-07:00","BoyWithUke Official","5","rlly good and it helped me a lot","im being ded serious","2.2.3",""
"2025-06-16T09:46:44-07:00","AscendTM02","5","This is the product of you need help with focus","Easy to use. Just use it everyday. Amazing.","3.1.2",""
"2025-06-12T09:27:18-07:00","LMR D","5","Happy","The Mendi adds to a healthy morning routine and as the days go on I appreciate the fact that I rate the way I feel and give a brief description about my moods. The training is making more sense each time.","3.1.2",""
"2025-06-10T06:47:29-07:00","uelemd svsh","5","Mendi Review","I’m convinced this is one of the best devices on the market. Giving my 2 cents.","3.1.2",""
"2025-06-08T18:17:25-07:00","P.J. Smith","5","Life changing","Could this be the device I’ve been waiting for my entire life to help me with ADD? After 2 1/2 -3 weeks, I’ve seen phenomenal progress. It almost feels like my brain is starting to operate the way God created it instead of under the influence of the inability to focus, stay engaged with tasks, and finish assignments. At this point, I would give it six stars if possible.","3.1.1",""
